"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-12-04 16:09:09 +01:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2012,"Czech Rep.","Syrian Arab Rep.","G / FI",68
2012,Germany,"Syrian Arab Rep.","G / JR",
2012,Germany,"Syrian Arab Rep.","G / NA",6201
2012,Germany,"Syrian Arab Rep.","G / RA",1729
2012,Denmark,"Syrian Arab Rep.","G / AR",97
2012,Denmark,"Syrian Arab Rep.","G / FI",907
2012,Spain,"Syrian Arab Rep.","G / FI",255
2012,Estonia,"Syrian Arab Rep.","G / FI",4
2012,Finland,"Syrian Arab Rep.","G / FI",180
2012,France,"Syrian Arab Rep.","G / FI",629
2012,France,"Syrian Arab Rep.","G / AR",30
2012,France,"Syrian Arab Rep.","G / RA",8
2012,"United Kingdom","Syrian Arab Rep.","G / FI",1289
2012,"United Kingdom","Syrian Arab Rep.","G / RA",16
2012,"United Kingdom","Syrian Arab Rep.","G / AR",168
2012,Greece,"Syrian Arab Rep.","G / AR",
2012,Greece,"Syrian Arab Rep.","G / FI",275
2012,Croatia,"Syrian Arab Rep.","G / FI",86
2012,Croatia,"Syrian Arab Rep.","G / JR",1
2012,Hungary,"Syrian Arab Rep.","G / FI",145
2012,Ireland,"Syrian Arab Rep.","G / FI",16
2013,Albania,"Syrian Arab Rep.","G / FI",24
2013,Austria,"Syrian Arab Rep.","G / FA",1991
2013,Belgium,"Syrian Arab Rep.","G / RA",146
2013,Belgium,"Syrian Arab Rep.","G / JR",
2013,Belgium,"Syrian Arab Rep.","G / FI",944
2013,Bulgaria,"Syrian Arab Rep.","G / RA",64
2013,Bulgaria,"Syrian Arab Rep.","G / FI",4452
2013,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FI",59
2013,Belarus,"Syrian Arab Rep.","G / FI",63
2013,Switzerland,"Syrian Arab Rep.","G / FI",1852
2013,Switzerland,"Syrian Arab Rep.","G / RA",49
2013,Switzerland,"Syrian Arab Rep.","G / AR",361
2013,"Czech Rep.","Syrian Arab Rep.","G / FI",67
